height,operation,latency,throughput
3515,LOAD,209306295,2388.8435844703095
3516,LOAD,201136334,2485.8760724951862
3517,LOAD,217766726,2296.0348864316397
3518,LOAD,205008562,2438.9225265625737
3519,LOAD,209868290,2382.4466287879886
3520,LOAD,216060685,2314.164652398468
3521,LOAD,212718401,2350.5253783851076
3522,LOAD,202142437,2473.503374256836
3523,LOAD,201787254,2477.8571990478645
3524,LOAD,204123546,2449.4969335874657
3525,LOAD,211754304,2361.227094585997
3526,LOAD,203157980,2461.138863459855
3527,LOAD,213613112,2340.6802855809715
3528,LOAD,201778453,2477.9652761040843
3529,LOAD,199768105,2502.902052357157
3530,LOAD,210692987,2373.121227808119
3531,LOAD,216010313,2314.70429840079
3532,LOAD,209068027,2391.5660714586456
3533,LOAD,213676593,2339.984894835907
3534,LOAD,214909022,2326.565889821042
3535,LOAD,219548530,2277.4008097435226
3536,LOAD,205769436,2429.904118510584
3537,LOAD,223669695,2235.4391818703916
3538,LOAD,212942409,2348.0527075280716
3539,LOAD,214359470,2332.530491888229
3540,LOAD,211812472,2360.5786537442423
3541,LOAD,216313203,2311.463161127525
3542,LOAD,210078104,2380.0671773008767
3543,LOAD,208011046,2403.718502526063
3544,LOAD,211330578,2365.9614464310985
3545,LOAD,212541580,2352.4808651558906
3546,LOAD,223532030,2236.81590508528
3547,LOAD,203275037,2459.7216036910622
3548,LOAD,214365775,2332.461886698098
3549,LOAD,207954570,2404.371300904808
3550,LOAD,209262913,2389.3388122720053
3551,LOAD,214434651,2331.7127043986934
3552,LOAD,207475019,2409.928686402482
3553,LOAD,201189348,2485.221036652497
3554,LOAD,210847456,2371.3826549560076
3555,LOAD,211190047,2367.5358147914994
3556,LOAD,206948719,2416.05747750485
3557,LOAD,209586457,2385.650328541982
3558,LOAD,210094158,2379.885308376828
3559,LOAD,204077197,2450.053251172398
3560,LOAD,211254329,2366.8154038159378
3561,LOAD,208134007,2402.298438428661
3562,LOAD,209934417,2381.6961846708537
3563,LOAD,206716208,2418.775019325045
3564,LOAD,209364309,2388.181645611812
3565,LOAD,204894449,2440.280849189819
3566,LOAD,209357476,2388.259590978256
3567,LOAD,205928823,2428.023395248561
3568,LOAD,208374550,2399.5252779190164
3569,LOAD,208992156,2392.434288299318
3570,LOAD,213703587,2339.689319300008
3571,LOAD,210675993,2373.312653615925
3572,LOAD,217276125,2301.2192434856797
3573,LOAD,209610567,2385.3759242967935
3574,LOAD,216139356,2313.3223363541438
3575,LOAD,203469208,2457.374287317224
3576,LOAD,206927288,2416.307703216021
3577,LOAD,209598252,2385.516077681793
3578,LOAD,201839069,2477.2210973684187
3579,LOAD,203305582,2459.352050648565
3580,LOAD,204179704,2448.8232189816476
3581,LOAD,205407374,2434.1871971938067
3582,LOAD,214150962,2334.80155928508
3583,LOAD,209105914,2391.132753901929
3584,LOAD,203705894,2454.51906266394
3585,LOAD,207640450,2408.008651493483
3586,LOAD,208766601,2395.0191151505123
3587,LOAD,208163800,2401.9546145871664
3588,LOAD,234271318,2134.2774876094736
3589,LOAD,217844670,2295.2133738227335
3590,LOAD,203587424,2455.9473771818048
3591,LOAD,213205161,2345.158989842652
3592,LOAD,212261851,2355.5810789570473
3593,LOAD,211782682,2360.910699959877
3594,LOAD,204960817,2439.4906661598643
3595,LOAD,212528443,2352.626278827065
3596,LOAD,198066753,2524.4014577247094
3597,LOAD,204543109,2444.472475481929
3598,LOAD,212115800,2357.202999493673
3599,LOAD,212516995,2352.753011588555
3600,LOAD,203909602,2452.066970343064
3601,LOAD,206332209,2423.276532652253
3602,LOAD,200010338,2499.8707816792953
3603,LOAD,209033022,2391.966566890087
3604,LOAD,219279059,2280.1994968429703
3605,LOAD,215154752,2323.9086999110295
3606,LOAD,210890126,2370.902846347581
3607,LOAD,211101514,2368.5287259474603
3608,LOAD,206793774,2417.8677642393623
3609,LOAD,224227869,2229.8744675667413
3610,LOAD,207867086,2405.3832168504064
3611,LOAD,214118139,2335.1594700717997
3612,LOAD,217652435,2297.2405523512753
3613,LOAD,208056550,2403.192785807513
3614,LOAD,206833740,2417.4005653042873
3615,LOAD,208133548,2402.303736253033
3616,LOAD,213638130,2340.406181237404
3617,LOAD,205541573,2432.59790563148
3618,LOAD,225241709,2219.8375346193097
3619,LOAD,213066379,2346.686522513249
3620,LOAD,225035101,2221.875599753658
3621,LOAD,228083974,2192.175062681081
3622,LOAD,216463078,2309.862747124015
3623,LOAD,206658714,2419.4479406273667
3624,LOAD,216042307,2314.361510683183
3625,LOAD,210458408,2375.766331939563
3626,LOAD,220078212,2271.9195846611115
3627,LOAD,215755149,2317.441796024066
3628,LOAD,210093509,2379.892660082135
3629,LOAD,208869663,2393.8373472647386
3630,LOAD,217858104,2295.0718418076385
3631,LOAD,212127295,2357.075264642393
3632,LOAD,219687005,2275.9652989033193
3633,LOAD,210563391,2374.581818925969
3634,LOAD,203096758,2461.880755378675
3635,LOAD,210443682,2375.9325784843472
3636,LOAD,204779676,2441.648555006015
3637,LOAD,210909005,2370.6906208201017
3638,LOAD,209943394,2381.5943453786404
3639,LOAD,207815295,2405.98267803147
3640,LOAD,204653350,2443.1557069552
3641,LOAD,212566373,2352.206479996721
3642,LOAD,213147482,2345.793604073634
3643,LOAD,219447083,2278.4536169933963
3644,LOAD,210053403,2380.347058695355
3645,LOAD,209905218,2382.027492046434
3646,LOAD,207338706,2411.5130727207297
3647,LOAD,205097717,2437.8623385651827
3648,LOAD,204882206,2440.4266713137595
3649,LOAD,209309599,2388.8058760267368
3650,LOAD,208970373,2392.6836748288715
3651,LOAD,203172528,2460.9626356571202
3652,LOAD,217807657,2295.6034093879443
3653,LOAD,206602782,2420.102939368938
3654,LOAD,214529295,2330.6840214992553
3655,LOAD,218644950,2286.8124784039146
3656,LOAD,221880965,2253.46054358471
3657,LOAD,218346309,2289.9402435055586
3658,LOAD,204366985,2446.579128228564
3659,LOAD,206449660,2421.897909640539
3660,LOAD,206908959,2416.521751482013
3661,LOAD,216894235,2305.271046046936
3662,LOAD,241949552,2066.5465005696724
3663,LOAD,201657781,2479.4480903268495
3664,LOAD,212838604,2349.197892690557
3665,LOAD,211607394,2362.866393978653
3666,LOAD,223866563,2233.4733392051944
3667,LOAD,208040301,2403.3804873220215
3668,LOAD,212683581,2350.9102002565965
3669,LOAD,213363144,2343.4225359933766
3670,LOAD,257911434,1938.649994090607
3671,LOAD,216868134,2305.5484951975473
3672,LOAD,205856695,2428.8741252743807
3673,LOAD,221853580,2253.7387045996734
3674,LOAD,205380970,2434.500138936923
3675,LOAD,245523793,2036.4625109876824
3676,LOAD,202601296,2467.901291213853
3677,LOAD,246911053,2025.020726795896
3678,LOAD,216478241,2309.7009551181636
3679,LOAD,249763494,2001.8938396177307
3680,LOAD,210693632,2373.113962931732
3681,LOAD,226712928,2205.4322371946955
3682,LOAD,208605188,2396.872315562928
3683,LOAD,210434428,2376.037061768239
3684,LOAD,228117009,2191.857600587776
3685,LOAD,197310181,2534.081097416864
3686,LOAD,218841940,2284.754010131696
3687,LOAD,213752632,2339.1524835118757
3688,LOAD,211413922,2365.028732592171
3689,LOAD,209697302,2384.389285084841
3690,LOAD,211693818,2361.9017537866885
3691,LOAD,225614417,2216.170432051778
3692,LOAD,211015437,2369.494891504075
3693,LOAD,215560638,2319.5329381053325
3694,LOAD,203585544,2455.970056498707
3695,LOAD,228962449,2183.764203185999
3696,LOAD,202200828,2472.789082743024
3697,LOAD,210479906,2375.5236758800147
3698,LOAD,208832684,2394.2612354682947
3699,LOAD,216330345,2311.2800009633415
3700,LOAD,212902588,2348.4918839972015
3701,LOAD,219543227,2277.4558196687162
3702,LOAD,219988499,2272.846090922235
3703,LOAD,210880212,2371.0143083505623
3704,LOAD,224285084,2229.305627832121
3705,LOAD,215031926,2325.2361140084845
3706,LOAD,208688602,2395.91427230894
3707,LOAD,219414114,2278.7959757228746
3708,LOAD,214390656,2332.191194004276
3709,LOAD,221323349,2259.1380541598437
3710,LOAD,212688980,2350.8505236143405
3711,LOAD,230792784,2166.4455505679935
3712,LOAD,227884071,2194.0980683989974
3713,LOAD,229760492,2176.1791840174155
3714,LOAD,209723453,2384.091968960667
3715,LOAD,228354380,2189.579197035765
3716,LOAD,226307369,2209.384529586396
3717,LOAD,210739176,2372.601096247999
3718,LOAD,219561611,2277.265127190199
3719,LOAD,210896618,2370.8298631891766
3720,LOAD,210850211,2371.351670119979
3721,LOAD,213027342,2347.1165499497242
3722,LOAD,216622679,2308.1609105203615
3723,LOAD,219929484,2273.4559773713654
3724,LOAD,218301977,2290.4052765403953
3725,LOAD,225429531,2217.9880239381773
3726,LOAD,206962020,2415.902202732656
3727,LOAD,235707156,2121.2762840344144
3728,LOAD,215506080,2320.1201562387478
3729,LOAD,217732050,2296.4005528813973
3730,LOAD,217985565,2293.7298623420315
3731,LOAD,214892623,2326.743435953127
3732,LOAD,214184859,2334.4320524542773
3733,LOAD,200169750,2497.8799244141537
3734,LOAD,215944032,2315.4147645071293
3735,LOAD,221914016,2253.1249220418777
3736,LOAD,213186657,2345.362543022568
3737,LOAD,223541476,2236.7213858782966
3738,LOAD,215078406,2324.7336136571516
3739,LOAD,210182647,2378.8833528202736
3740,LOAD,210235188,2378.2888333612354
3741,LOAD,215144769,2324.0165323285178
3742,LOAD,210557382,2374.649586021164
