height,operation,latency,throughput
148,LOAD,97596901,5123.113489023591
149,LOAD,106182227,4708.885979571704
150,LOAD,122298115,4088.370454442409
151,LOAD,115402867,4332.647992185497
152,LOAD,99177493,5041.466414159107
153,LOAD,113421719,4408.326768526582
154,LOAD,103891553,4812.710808163586
155,LOAD,105345524,4746.286135517253
156,LOAD,113131776,4419.624774563779
157,LOAD,112351718,4450.310230236088
158,LOAD,106329653,4702.357111990199
159,LOAD,121697472,4108.548779057629
160,LOAD,127529736,3920.6542386318433
161,LOAD,109449444,4568.319232393725
162,LOAD,133850662,3735.506366042478
163,LOAD,120685581,4142.996999782435
164,LOAD,128387716,3894.453578409324
165,LOAD,124056035,4030.436729660109
166,LOAD,125905712,3971.2257057884713
167,LOAD,121922564,4100.9636247479175
168,LOAD,127037554,3935.8440418334876
169,LOAD,112337686,4450.866114511207
170,LOAD,133362300,3749.1854894524167
171,LOAD,117107263,4269.590008264475
172,LOAD,124415703,4018.7853136191334
173,LOAD,121685534,4108.951849609338
174,LOAD,115354986,4334.44636714706
175,LOAD,115983582,4310.954976368983
176,LOAD,109027459,4586.00066979457
177,LOAD,117314927,4262.032230561759
178,LOAD,111959774,4465.8896864154085
179,LOAD,116794119,4281.037472443282
180,LOAD,118615261,4215.309191959709
181,LOAD,115340355,4334.99619452359
182,LOAD,123669542,4043.032681401861
183,LOAD,110534430,4523.477435944619
184,LOAD,122584188,4078.8294816620237
185,LOAD,113721160,4396.7191330091955
186,LOAD,108377055,4613.522668612834
187,LOAD,114258996,4376.023048548404
188,LOAD,117839697,4243.052322172892
189,LOAD,118184788,4230.66291746447
190,LOAD,118864833,4206.458608325306
191,LOAD,119594051,4180.809963532383
192,LOAD,113533165,4403.999483322781
193,LOAD,133893387,3734.3143765569243
194,LOAD,122784155,4072.186675878496
195,LOAD,133027595,3758.6186535207225
196,LOAD,126853979,3941.539744685502
197,LOAD,136470436,3663.7971904772107
198,LOAD,112269737,4453.559911697308
199,LOAD,123057665,4063.13576647176
200,LOAD,130212150,3839.887445219206
201,PUT,0.15098313700000002,33116.28105859265
202,PUT,0.159403812,31366.878478414303
203,PUT,0.15071209900000002,33175.836798610304
204,PUT,0.153732471,32524.033260351353
205,PUT,0.159040063,31438.61933706603
206,PUT,0.154554127,32351.1257645032
207,PUT,0.15605718300000002,32039.537712275633
208,PUT,0.159834781,31282.302692303245
209,PUT,0.158031837,31639.19432259716
210,PUT,0.157408647,31764.455735395524
211,PUT,0.151499771,33003.350216285144
212,PUT,0.158339706,31577.676416804767
213,PUT,0.165483965,30214.407782651328
214,PUT,0.168033653,29755.94418577569
215,PUT,0.155404493,32174.101941827383
216,PUT,0.16551411700000002,30208.903570442875
217,PUT,0.160128719,31224.879779372994
218,PUT,0.159651137,31318.286195481338
219,PUT,0.15968605600000002,31311.437737556742
220,PUT,0.156804784,31886.78222980748
